"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7287","test_login_negative[webkit]","tests","Sun Jan 18 08:59:19 UTC 2026","broken","Sun Jan 18 08:59:26 UTC 2026","","test_3o3","",""
"","6460","test_login_scenario[chromium]","tests","Sun Jan 18 08:59:02 UTC 2026","passed","Sun Jan 18 08:59:09 UTC 2026","","test_3o3","",""
"","177","test_landing[firefox]","tests","Sun Jan 18 08:59:11 UTC 2026","passed","Sun Jan 18 08:59:11 UTC 2026","","test_3o3","",""
"","5238","test_login_scenario[webkit]","tests","Sun Jan 18 08:59:23 UTC 2026","failed","Sun Jan 18 08:59:28 UTC 2026","","test_3o3","",""
"","11017","test_login_negative[firefox]","tests","Sun Jan 18 08:59:05 UTC 2026","passed","Sun Jan 18 08:59:16 UTC 2026","","test_3o3","",""
"","82","test_landing[chromium]","tests","Sun Jan 18 08:58:57 UTC 2026","passed","Sun Jan 18 08:58:57 UTC 2026","","test_3o3","",""
"","5022","test_login_scenario[firefox]","tests","Sun Jan 18 08:58:58 UTC 2026","passed","Sun Jan 18 08:59:03 UTC 2026","","test_3o3","",""
"","7398","test_login_negative[chromium]","tests","Sun Jan 18 08:58:57 UTC 2026","passed","Sun Jan 18 08:59:04 UTC 2026","","test_3o3","",""
"","99","test_landing[webkit]","tests","Sun Jan 18 08:59:16 UTC 2026","passed","Sun Jan 18 08:59:16 UTC 2026","","test_3o3","",""
