"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30013","test_login_scenario[chromium]","tests","Sun Jan 18 06:33:33 UTC 2026","broken","Sun Jan 18 06:34:03 UTC 2026","","test_3o3","",""
"","30030","test_login_scenario[webkit]","tests","Sun Jan 18 06:34:46 UTC 2026","broken","Sun Jan 18 06:35:17 UTC 2026","","test_3o3","",""
"","30022","test_login_scenario[firefox]","tests","Sun Jan 18 06:34:10 UTC 2026","broken","Sun Jan 18 06:34:40 UTC 2026","","test_3o3","",""
