"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5024","test_login_scenario[chromium]","tests","Sun Jan 18 05:24:08 UTC 2026","passed","Sun Jan 18 05:24:13 UTC 2026","","test_3o3","",""
"","30019","test_login_scenario[webkit]","tests","Sun Jan 18 05:24:31 UTC 2026","broken","Sun Jan 18 05:25:01 UTC 2026","","test_3o3","",""
"","5303","test_login_scenario[firefox]","tests","Sun Jan 18 05:24:19 UTC 2026","passed","Sun Jan 18 05:24:24 UTC 2026","","test_3o3","",""
