"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5596","test_login_negative[chromium]","tests","Sun Jan 18 09:39:08 UTC 2026","passed","Sun Jan 18 09:39:13 UTC 2026","","test_3o3","",""
"","136","test_landing[chromium]","tests","Sun Jan 18 09:39:08 UTC 2026","passed","Sun Jan 18 09:39:08 UTC 2026","","test_3o3","",""
"","9946","test_login_negative[firefox]","tests","Sun Jan 18 09:39:17 UTC 2026","passed","Sun Jan 18 09:39:27 UTC 2026","","test_3o3","",""
"","106","test_landing[webkit]","tests","Sun Jan 18 09:39:24 UTC 2026","passed","Sun Jan 18 09:39:24 UTC 2026","","test_3o3","",""
"","7384","test_login_scenario[webkit]","tests","Sun Jan 18 09:39:26 UTC 2026","failed","Sun Jan 18 09:39:33 UTC 2026","","test_3o3","",""
"","3575","test_login_scenario[chromium]","tests","Sun Jan 18 09:39:12 UTC 2026","passed","Sun Jan 18 09:39:15 UTC 2026","","test_3o3","",""
"","156","test_landing[firefox]","tests","Sun Jan 18 09:39:22 UTC 2026","passed","Sun Jan 18 09:39:22 UTC 2026","","test_3o3","",""
"","11420","test_login_negative[webkit]","tests","Sun Jan 18 09:39:32 UTC 2026","failed","Sun Jan 18 09:39:43 UTC 2026","","test_3o3","",""
"","4220","test_login_scenario[firefox]","tests","Sun Jan 18 09:39:09 UTC 2026","passed","Sun Jan 18 09:39:14 UTC 2026","","test_3o3","",""
