"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3326","test_login_scenario[chromium]","tests","Sun Jan 18 06:39:05 UTC 2026","passed","Sun Jan 18 06:39:08 UTC 2026","","test_3o3","",""
"","3690","test_login_scenario[firefox]","tests","Sun Jan 18 06:39:13 UTC 2026","passed","Sun Jan 18 06:39:17 UTC 2026","","test_3o3","",""
"","30043","test_login_scenario[webkit]","tests","Sun Jan 18 06:39:23 UTC 2026","broken","Sun Jan 18 06:39:53 UTC 2026","","test_3o3","",""
