"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2504","test_landing[webkit]","tests","Sun Jan 18 09:30:56 UTC 2026","passed","Sun Jan 18 09:30:58 UTC 2026","","test_3o3","",""
"","5231","test_login_scenario[webkit]","tests","Sun Jan 18 09:31:02 UTC 2026","failed","Sun Jan 18 09:31:07 UTC 2026","","test_3o3","",""
"","2112","test_landing[firefox]","tests","Sun Jan 18 09:30:53 UTC 2026","passed","Sun Jan 18 09:30:55 UTC 2026","","test_3o3","",""
"","4072","test_login_scenario[chromium]","tests","Sun Jan 18 09:30:47 UTC 2026","passed","Sun Jan 18 09:30:51 UTC 2026","","test_3o3","",""
"","6455","test_login_negative[chromium]","tests","Sun Jan 18 09:30:43 UTC 2026","passed","Sun Jan 18 09:30:49 UTC 2026","","test_3o3","",""
"","5337","test_login_scenario[firefox]","tests","Sun Jan 18 09:30:44 UTC 2026","passed","Sun Jan 18 09:30:49 UTC 2026","","test_3o3","",""
"","12444","test_login_negative[webkit]","tests","Sun Jan 18 09:31:09 UTC 2026","failed","Sun Jan 18 09:31:22 UTC 2026","","test_3o3","",""
"","7718","test_login_negative[firefox]","tests","Sun Jan 18 09:30:55 UTC 2026","passed","Sun Jan 18 09:31:03 UTC 2026","","test_3o3","",""
"","114","test_landing[chromium]","tests","Sun Jan 18 09:30:42 UTC 2026","passed","Sun Jan 18 09:30:42 UTC 2026","","test_3o3","",""
